observation_date,CUURA421SA0
2010-01-01,224.610
2010-02-01,224.620
2010-03-01,225.483
2010-04-01,225.916
2010-05-01,226.438
2010-06-01,225.877
2010-07-01,225.991
2010-08-01,226.373
2010-09-01,226.048
2010-10-01,226.794
2010-11-01,225.941
2010-12-01,226.639
2011-01-01,228.652
2011-02-01,229.729
2011-03-01,232.241
2011-04-01,233.319
2011-05-01,233.367
2011-06-01,232.328
2011-07-01,231.303
2011-08-01,231.833
2011-09-01,233.022
2011-10-01,233.049
2011-11-01,232.731
2011-12-01,231.567
2012-01-01,233.441
2012-02-01,234.537
2012-03-01,236.941
2012-04-01,236.866
2012-05-01,237.032
2012-06-01,236.025
2012-07-01,235.776
2012-08-01,237.222
2012-09-01,238.104
2012-10-01,240.111
2012-11-01,237.675
2012-12-01,236.042
2013-01-01,238.015
2013-02-01,239.753
2013-03-01,239.995
2013-04-01,239.043
2013-05-01,239.346
2013-06-01,239.223
2013-07-01,238.920
2013-08-01,239.219
2013-09-01,239.611
2013-10-01,239.940
2013-11-01,238.677
2013-12-01,238.742
2014-01-01,239.857
2014-02-01,241.059
2014-03-01,242.491
2014-04-01,242.437
2014-05-01,243.362
2014-06-01,243.528
2014-07-01,243.727
2014-08-01,243.556
2014-09-01,243.623
2014-10-01,243.341
2014-11-01,241.753
2014-12-01,240.475
2015-01-01,239.724
2015-02-01,241.297
2015-03-01,243.738
2015-04-01,243.569
2015-05-01,246.093
2015-06-01,245.459
2015-07-01,247.066
2015-08-01,246.328
2015-09-01,245.431
2015-10-01,245.812
2015-11-01,245.711
2015-12-01,245.357
2016-01-01,247.155
2016-02-01,247.113
2016-03-01,247.873
2016-04-01,248.368
2016-05-01,249.554
2016-06-01,249.789
2016-07-01,249.784
2016-08-01,249.700
2016-09-01,250.145
2016-10-01,251.098
2016-11-01,250.185
2016-12-01,250.189
2017-01-01,252.373
2017-02-01,253.815
2017-03-01,254.525
2017-04-01,254.971
2017-05-01,255.674
2017-06-01,255.275
2017-07-01,256.023
2017-08-01,256.739
2017-09-01,257.890
2017-10-01,258.883
2017-11-01,259.135
2017-12-01,259.220
